version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/chiyodagata_2/stern_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_02_dm3"
""	"RigidModels/Naval/chiyodagata_2/stern_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/stern_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/stern_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_01_dm3"
""	"RigidModels/Naval/chiyodagata_2/stern_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/stern_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_stern_01_dm1"
""	"RigidModels/Naval/chiyodagata_2/starb_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_03_dm3"
""	"RigidModels/Naval/chiyodagata_2/starb_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_03_dm2"
""	"RigidModels/Naval/chiyodagata_2/starb_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_03_dm1"
""	"RigidModels/Naval/chiyodagata_2/starb_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_02_dm3"
""	"RigidModels/Naval/chiyodagata_2/starb_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_02_dm2"
""	"RigidModels/Naval/chiyodagata_2/starb_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_02_dm1"
""	"RigidModels/Naval/chiyodagata_2/starb_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_01_dm3"
""	"RigidModels/Naval/chiyodagata_2/starb_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_01_dm2"
""	"RigidModels/Naval/chiyodagata_2/starb_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_2_starb_01_dm1"
""	"RigidModels/Naval/chiyodagata_2/port_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_2_port_03_dm3"
