version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/hms_warrior/stern_02_dm3.rigid_model_v2"	"1_1"	"hms_warrior_stern_02_dm3"
""	"RigidModels/Naval/hms_warrior/stern_02_dm2.rigid_model_v2"	"1_1"	"hms_warrior_stern_02_dm2"
""	"RigidModels/Naval/hms_warrior/stern_02_dm1.rigid_model_v2"	"1_1"	"hms_warrior_stern_02_dm1"
""	"RigidModels/Naval/hms_warrior/stern_01_dm3.rigid_model_v2"	"1_1"	"hms_warrior_stern_01_dm3"
""	"RigidModels/Naval/hms_warrior/stern_01_dm2.rigid_model_v2"	"1_1"	"hms_warrior_stern_01_dm2"
""	"RigidModels/Naval/hms_warrior/stern_01_dm1.rigid_model_v2"	"1_1"	"hms_warrior_stern_01_dm1"
""	"RigidModels/Naval/hms_warrior/starb_04_dm3.rigid_model_v2"	"1_1"	"hms_warrior_starb_04_dm3"
""	"RigidModels/Naval/hms_warrior/starb_04_dm2.rigid_model_v2"	"1_1"	"hms_warrior_starb_04_dm2"
""	"RigidModels/Naval/hms_warrior/starb_04_dm1.rigid_model_v2"	"1_1"	"hms_warrior_starb_04_dm1"
""	"RigidModels/Naval/hms_warrior/starb_03_dm3.rigid_model_v2"	"1_1"	"hms_warrior_starb_03_dm3"
""	"RigidModels/Naval/hms_warrior/starb_03_dm2.rigid_model_v2"	"1_1"	"hms_warrior_starb_03_dm2"
""	"RigidModels/Naval/hms_warrior/starb_03_dm1.rigid_model_v2"	"1_1"	"hms_warrior_starb_03_dm1"
""	"RigidModels/Naval/hms_warrior/starb_02_dm3.rigid_model_v2"	"1_1"	"hms_warrior_starb_02_dm3"
""	"RigidModels/Naval/hms_warrior/starb_02_dm2.rigid_model_v2"	"1_1"	"hms_warrior_starb_02_dm2"
""	"RigidModels/Naval/hms_warrior/starb_02_dm1.rigid_model_v2"	"1_1"	"hms_warrior_starb_02_dm1"
""	"RigidModels/Naval/hms_warrior/starb_01_dm3.rigid_model_v2"	"1_1"	"hms_warrior_starb_01_dm3"
""	"RigidModels/Naval/hms_warrior/starb_01_dm2.rigid_model_v2"	"1_1"	"hms_warrior_starb_01_dm2"
""	"RigidModels/Naval/hms_warrior/starb_01_dm1.rigid_model_v2"	"1_1"	"hms_warrior_starb_01_dm1"
""	"RigidModels/Naval/hms_warrior/port_04_dm3.rigid_model_v2"	"1_1"	"hms_warrior_port_04_dm3"
""	"RigidModels/Naval/hms_warrior/port_04_dm2.rigid_model_v2"	"1_1"	"hms_warrior_port_04_dm2"
""	"RigidModels/Naval/hms_warrior/port_04_dm1.rigid_model_v2"	"1_1"	"hms_warrior_port_04_dm1"
""	"RigidModels/Naval/hms_warrior/port_03_dm3.rigid_model_v2"	"1_1"	"hms_warrior_port_03_dm3"
""	"RigidModels/Naval/hms_warrior/port_03_dm2.rigid_model_v2"	"1_1"	"hms_warrior_port_03_dm2"
""	"RigidModels/Naval/hms_warrior/port_03_dm1.rigid_model_v2"	"1_1"	"hms_warrior_port_03_dm1"
""	"RigidModels/Naval/hms_warrior/port_02_dm3.rigid_model_v2"	"1_1"	"hms_warrior_port_02_dm3"
""	"RigidModels/Naval/hms_warrior/port_02_dm2.rigid_model_v2"	"1_1"	"hms_warrior_port_02_dm2"
""	"RigidModels/Naval/hms_warrior/port_02_dm1.rigid_model_v2"	"1_1"	"hms_warrior_port_02_dm1"
""	"RigidModels/Naval/hms_warrior/port_01_dm3.rigid_model_v2"	"1_1"	"hms_warrior_port_01_dm3"
