version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/kotetsu/stern_01_dm3.rigid_model_v2"	"1_1"	"kotetsu_stern_01_dm3"
""	"RigidModels/Naval/kotetsu/stern_01_dm2.rigid_model_v2"	"1_1"	"kotetsu_stern_01_dm2"
""	"RigidModels/Naval/kotetsu/stern_01_dm1.rigid_model_v2"	"1_1"	"kotetsu_stern_01_dm1"
""	"RigidModels/Naval/kotetsu/starb_01_dm3.rigid_model_v2"	"1_1"	"kotetsu_starb_01_dm3"
""	"RigidModels/Naval/kotetsu/starb_01_dm2.rigid_model_v2"	"1_1"	"kotetsu_starb_01_dm2"
""	"RigidModels/Naval/kotetsu/starb_01_dm1.rigid_model_v2"	"1_1"	"kotetsu_starb_01_dm1"
""	"RigidModels/Naval/kotetsu/port_01_dm3.rigid_model_v2"	"1_1"	"kotetsu_port_01_dm3"
""	"RigidModels/Naval/kotetsu/port_01_dm2.rigid_model_v2"	"1_1"	"kotetsu_port_01_dm2"
""	"RigidModels/Naval/kotetsu/port_01_dm1.rigid_model_v2"	"1_1"	"kotetsu_port_01_dm1"
""	"RigidModels/Naval/kotetsu/mast_02_dm2.rigid_model_v2"	"1_1"	"kotetsu_mast_02_dm2"
""	"RigidModels/Naval/kotetsu/mast_02_dm1.rigid_model_v2"	"1_1"	"kotetsu_mast_02_dm1"
""	"RigidModels/Naval/kotetsu/mast_01_dm2.rigid_model_v2"	"1_1"	"kotetsu_mast_01_dm2"
""	"RigidModels/Naval/kotetsu/mast_01_dm1.rigid_model_v2"	"1_1"	"kotetsu_mast_01_dm1"
""	"RigidModels/Naval/kotetsu/bow_01_dm3.rigid_model_v2"	"1_1"	"kotetsu_bow_01_dm3"
""	"RigidModels/Naval/kotetsu/bow_01_dm2.rigid_model_v2"	"1_1"	"kotetsu_bow_01_dm2"
""	"RigidModels/Naval/kotetsu/bow_01_dm1.rigid_model_v2"	"1_1"	"kotetsu_bow_01_dm1"
