version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/uss_roanoke/stern_02_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_stern_02_dm3"
""	"RigidModels/Naval/uss_roanoke/stern_02_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_stern_02_dm2"
""	"RigidModels/Naval/uss_roanoke/stern_02_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_stern_02_dm1"
""	"RigidModels/Naval/uss_roanoke/stern_01_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_stern_01_dm3"
""	"RigidModels/Naval/uss_roanoke/stern_01_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_stern_01_dm2"
""	"RigidModels/Naval/uss_roanoke/stern_01_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_stern_01_dm1"
""	"RigidModels/Naval/uss_roanoke/starb_04_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_starb_04_dm3"
""	"RigidModels/Naval/uss_roanoke/starb_04_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_starb_04_dm2"
""	"RigidModels/Naval/uss_roanoke/starb_04_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_starb_04_dm1"
""	"RigidModels/Naval/uss_roanoke/starb_03_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_starb_03_dm3"
""	"RigidModels/Naval/uss_roanoke/starb_03_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_starb_03_dm2"
""	"RigidModels/Naval/uss_roanoke/starb_03_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_starb_03_dm1"
""	"RigidModels/Naval/uss_roanoke/starb_02_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_starb_02_dm3"
""	"RigidModels/Naval/uss_roanoke/starb_02_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_starb_02_dm2"
""	"RigidModels/Naval/uss_roanoke/starb_02_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_starb_02_dm1"
""	"RigidModels/Naval/uss_roanoke/starb_01_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_starb_01_dm3"
""	"RigidModels/Naval/uss_roanoke/starb_01_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_starb_01_dm2"
""	"RigidModels/Naval/uss_roanoke/starb_01_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_starb_01_dm1"
""	"RigidModels/Naval/uss_roanoke/port_04_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_port_04_dm3"
""	"RigidModels/Naval/uss_roanoke/port_04_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_port_04_dm2"
""	"RigidModels/Naval/uss_roanoke/port_04_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_port_04_dm1"
""	"RigidModels/Naval/uss_roanoke/port_03_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_port_03_dm3"
""	"RigidModels/Naval/uss_roanoke/port_03_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_port_03_dm2"
""	"RigidModels/Naval/uss_roanoke/port_03_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_port_03_dm1"
""	"RigidModels/Naval/uss_roanoke/port_02_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_port_02_dm3"
""	"RigidModels/Naval/uss_roanoke/port_02_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_port_02_dm2"
""	"RigidModels/Naval/uss_roanoke/port_02_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_port_02_dm1"
""	"RigidModels/Naval/uss_roanoke/port_01_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_port_01_dm3"
""	"RigidModels/Naval/uss_roanoke/port_01_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_port_01_dm2"
""	"RigidModels/Naval/uss_roanoke/port_01_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_port_01_dm1"
""	"RigidModels/Naval/uss_roanoke/misc_05_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_misc_05_dm3"
""	"RigidModels/Naval/uss_roanoke/misc_05_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_misc_05_dm2"
""	"RigidModels/Naval/uss_roanoke/misc_05_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_misc_05_dm1"
""	"RigidModels/Naval/uss_roanoke/misc_04_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_misc_04_dm3"
""	"RigidModels/Naval/uss_roanoke/misc_04_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_misc_04_dm2"
""	"RigidModels/Naval/uss_roanoke/misc_04_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_misc_04_dm1"
""	"RigidModels/Naval/uss_roanoke/misc_03_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_misc_03_dm3"
""	"RigidModels/Naval/uss_roanoke/misc_03_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_misc_03_dm2"
""	"RigidModels/Naval/uss_roanoke/misc_03_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_misc_03_dm1"
""	"RigidModels/Naval/uss_roanoke/misc_02_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_misc_02_dm3"
""	"RigidModels/Naval/uss_roanoke/misc_02_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_misc_02_dm2"
""	"RigidModels/Naval/uss_roanoke/misc_02_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_misc_02_dm1"
""	"RigidModels/Naval/uss_roanoke/misc_01_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_misc_01_dm3"
""	"RigidModels/Naval/uss_roanoke/misc_01_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_misc_01_dm2"
""	"RigidModels/Naval/uss_roanoke/misc_01_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_misc_01_dm1"
""	"RigidModels/Naval/uss_roanoke/bow_02_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_bow_02_dm3"
""	"RigidModels/Naval/uss_roanoke/bow_02_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_bow_02_dm2"
""	"RigidModels/Naval/uss_roanoke/bow_02_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_bow_02_dm1"
""	"RigidModels/Naval/uss_roanoke/bow_01_dm3.rigid_model_v2"	"1_1"	"uss_roanoke_bow_01_dm3"
""	"RigidModels/Naval/uss_roanoke/bow_01_dm2.rigid_model_v2"	"1_1"	"uss_roanoke_bow_01_dm2"
""	"RigidModels/Naval/uss_roanoke/bow_01_dm1.rigid_model_v2"	"1_1"	"uss_roanoke_bow_01_dm1"
