version 1, schema warscape_rigid_lod_tables, guid 8a9d8839-7f61-4796-be11-25136078d866
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
"-1015970715"	"EngineModels\\Field_Cannon_6lb\\field_cannon_6lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Prussia_6lb"
"-1027805976"	"RigidModels\\WarscapeFrame\\ai_hints\\suitable_deployable_item.rigid_model"	"1_1"	"suitable_deployable_item_gabionade_marker"
"-1049519851"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_piece01_destruct01_lod05.rigid_model"	"0"	"tree_stump_piece01_destruct01"
"-1051016573"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_dry_piece01_destruct01_lod05.rigid_model"	"0"	"tree_stump_dry_piece01_destruct01"
"-1105922441"	"RigidModels\\city_buildings\\east\\out_build_07.rigid_model"	"1_1"	"city_east_building_07"
"-110905085"	"RigidModels\\3Dindicators\\building_marker.rigid_model"	"0"	"occupiable_building"
"-1112401815"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_1_dry_piece01_destruct01_lod05.rigid_model"	"0"	"rock_1_dry_piece01_destruct01"
"-1156578580"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_4_dry_piece01_destruct01_lod01.rigid_model"	"20"	"rock_4_dry_piece01_destruct01"
"-1175661072"	"RigidModels\\city_buildings\\euro\\out_build_05.rigid_model"	"1_1"	"city_euro_building_05"
"-1192707490"	"EngineModels\\Rocket\\rocket_destructed_model.rigid_model"	"0"	"rocket_destructed_model"
"-1195070863"	"RigidModels/VerletItems/siege_prop_flagpole_piece01_destruct01_lod05.rigid_model"	"2_2"	"siege_prop_flagpole"
"-1195740190"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_2_wet_piece01_destruct01_lod01.rigid_model"	"20"	"rock_2_wet_piece01_destruct01"
"-1203266076"	"RigidModels\\Buildings\\fallen_rotting_log\\tree_stump_and_log_piece01_destruct01_lod05.rigid_model"	"0"	"tree_stump_and_log_piece01_destruct01"
"-121052558"	"RigidModels\\BattleFieldProps\\hedge_small_4_piece01_destruct01_lod01.rigid_model"	"150"	"hedge_small_4_piece01_destruct01"
"-1215709004"	"RigidModels\\BattleFieldProps\\wall_eu_north_end_lod05.rigid_model"	"0"	"Wall_EU_North_End_piece01_destruct01"
"-1220185251"	"RigidModels\\outfield\\terrain\\models\\mountains_c.rigid_model"	"0"	"mountains_c"
"-1236825482"	"RigidModels\\city_buildings\\us\\out_build_07.rigid_model"	"1_1"	"city_us_building_07"
"-1237095010"	"RigidModels\\city_buildings\\euro\\out_build_07.rigid_model"	"1_1"	"city_euro_building_07"
"-1261251232"	"EngineModels\\Mortar\\mortar_destroyed_model.rigid_model"	"0"	"mortar_destroyed"
"-1264327912"	"RigidModels\\outfield\\terrain\\models\\plains_b.rigid_model"	"0"	"plains_b"
"-1327604000"	"RigidModels\\city_buildings\\east\\out_build_03.rigid_model"	"1_1"	"city_east_building_03"
"-1329279694"	"RigidModels\\BattleFieldProps\\woodenstile_piece01_destruct01_lod05_alphatest.rigid_model"	"0"	"woodenstile_piece01_destruct01"
"-1346203755"	"RigidModels\\BattleFieldProps\\hedge_small_1_piece01_destruct01_lod03.rigid_model"	"0"	"hedge_winter_small_1_piece01_destruct01"
"-134923800"	"EngineModels\\Field_Cannon_12lb\\field_cannon_12lb_destroyed_model.rigid_model"	"0"	"field_cannon_destroyed_model_Prussia_12lb"
"-1353148507"	"RigidModels\\BattleFieldProps\\wall_eu_south_end_lod05.rigid_model"	"0"	"Wall_EU_South_End_piece01_destruct01"
"-1364501617"	"EngineModels\\Rocket\\rocket_destructed_model.rigid_model"	"0"	"rocket_destructed_model_Britain"
"-1368734468"	"RigidModels\\city_buildings\\euro\\out_townhall.rigid_model"	"1_1"	"city_euro_townhall"
"-1373840543"	"RigidModels\\Buildings\\fallen_rotting_log\\rock_3_dry_piece01_destruct01_lod05.rigid_model"	"0"	"rock_3_dry_piece01_destruct01"
