version 1, schema warscape_rigid_tables
Filename_x0020_WR_ID(string)	Texture_path(string)	Category(string)
"hms_warrior_stern_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_stern_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_stern_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_stern_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_stern_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_stern_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_starb_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_port_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_misc_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_mast_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"hms_warrior_bow_01_dm1"	"RigidModels/Naval/Textures"	"ship"
