version 1, schema warscape_rigid_tables
Filename_x0020_WR_ID(string)	Texture_path(string)	Category(string)
"l'ocean_stern_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_stern_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_stern_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_stern_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_stern_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_stern_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_starb_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_port_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_misc_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_mast_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"l'ocean_bow_01_dm1"	"RigidModels/Naval/Textures"	"ship"
