version 1, schema warscape_rigid_tables
Filename_x0020_WR_ID(string)	Texture_path(string)	Category(string)
"uss_roanoke_stern_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_stern_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_stern_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_stern_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_stern_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_stern_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_starb_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_port_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_05_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_05_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_05_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_04_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_04_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_04_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_03_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_03_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_03_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_misc_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_02_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"uss_roanoke_bow_01_dm1"	"RigidModels/Naval/Textures"	"ship"
