version 1, schema warscape_rigid_tables, guid 5a557edd-6bae-4e29-8060-4b132d2c15a6
Filename_x0020_WR_ID(string)	Texture_path(string)	Category(string)
"1meterblock_piece01_destruct01"	"rigidmodels/buildings/textures"	"battle_building"
"5meterblock_piece01_destruct01"	"rigidmodels/buildings/textures"	"battle_building"
"5meterblock_wire_piece01_destruct01"	"rigidmodels/buildings/textures"	"battle_building"
"ALL_army_dug_in"	"RigidModels/CampaignBuildings/CampaignProps/Textures"	"campaign_template_extra"
"ALL_army_no_movement_points"	"RigidModels/CampaignBuildings/CampaignProps/Textures"	"campaign_template_extra"
"ALL_port_construction"	"RigidModels/CampaignBuildings/CampaignProps/Textures"	"campaign_template_extra"
"Ammo_Caisson_Austria_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"Ammo_Caisson_Britain_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"Ammo_Caisson_France_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"Ammo_Caisson_Prussia_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"Ammo_Caisson_Russia_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"Ammo_Caisson_destructed"	"RigidModels/artillery/Textures"	"battle_misc"
"EU_City_1_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_1_slot_fortifications_lvl0"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_1_slot_fortifications_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_1_slot_fortifications_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_1_slot_fortified"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_2_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_2_slot_fortifications_lvl0"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_2_slot_fortifications_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_2_slot_fortifications_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_2_slot_fortified"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_3_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_3_slot_fortifications_lvl0"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_3_slot_fortifications_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_3_slot_fortifications_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_3_slot_fortified"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_4_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_4_slot_fortifications_lvl0"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_4_slot_fortifications_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_4_slot_fortifications_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_4_slot_fortified"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_5_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_5_slot_fortifications_lvl0"	"RigidModels/CampaignBuildings/Textures"	"campaign_template_extra"
"EU_City_5_slot_fortifications_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_template_extra"
"EU_City_5_slot_fortifications_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_template_extra"
"EU_City_5_slot_fortified"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_City_7_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_Fort_lvl4"	"RigidModels/CampaignBuildings/Textures"	"campaign_fort"
"EU_Fort_lvl5"	"RigidModels/CampaignBuildings/Textures"	"campaign_fort"
"EU_Port_Village_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_Port_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template_extra"
"EU_Town_Village_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_Town_slot"	"RigidModels/CampaignBuildings/Textures"	"campaign_template"
"EU_building_placeholder"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"EU_city_artillery_lvl1"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"EU_city_artillery_lvl2"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"EU_city_artillery_lvl3"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"EU_city_artillery_lvl4"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
