category,volume_multiplier
uncategorised,1
unit_voices,1
ui,1
advisor,1
environment_ambience,1
campaign_ambience,1
weather,1
wildlife,1
anim,1
footstep,1
anchor,1
bell,1
fire,1
flags,1
galley,1
grappling_hook,1
mast,1
musician_bugle,1
musician,1
ropes,1
sails,1
ship_wake,1
ship,1
ship_sink,1
ship collision,1
unit,1
unit_charge,1
unit_group,1
unit_group_melee,1
water,1
unit_natives_group_melee,1
building_destroyed,1
unit_group_move,1
campaign,1
ships,1
towns_ambience,1
city_ambience,1
village_ambience,1
music,1
loading_music,1
projectiles,1
projectiles_lime,1
projectiles_incoming,1
